nqf_level,nqf_desc,nqf_cert,nqf_link
1,Grade 9 / ABET Level 4 / GET Certificate,GETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
2,Grade 10,FETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
3,Grade 11,FETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
4,Grade 12 / National Skills Certificates / Occupational Awards,FETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
5,National Certificates / Occupational Awards,HETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
6,Higher Certificates,HETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
7,Diplomas / National 1st Degrees,HETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
8,Professional qualifications / Honours Degree,HETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
9,Masters Degree,HETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
10,Post-doctoral Research Degrees / Doctorate,HETC,http://www.saqa.org.za/docs/misc/2012/level_descriptors.pdf 
