ETQA_ID,ETQA,ID,Researcher
1,,1,
10,FASSET,2,Tim
11,FoodBEVSETA,3,Les
12,FP&M SETA,4,Jenny
13,HWSETA,5,Les
14,INSETA,6,Tim
15,LGSETA,7,Les
16,MerSETA,8,Nigel
17,MICTSETA,9,Les
18,MQA,10,Nigel
19,NAMB,11,Nigel
2,Adult AET,12,Tim
20,Private HE,13,Tim
21,PSETA,14,Jenny
22,Public HE,15,Tim
23,Public TVET,16,Tim
24,SABPP,17,Tim
25,SASSETA,18,Jenny
26,Services SETA,19,Les
3,AgriSETA,20,Les
4,BankSETA,21,Jenny
5,CATHSSETA,22,Jenny
6,CETA,23,Jenny
7,CHIETA,24,Jenny
8,ETDPSETA,25,Jenny
9,EWSETA,26,
27,W&RSETA,27,Nigel
28,HPCSA,28,Nigel
